p,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,largeNc/finiteNc1,largeNc/finiteNc2,error,time
1.164,0.024,2.0,100,2.33,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:48.406737
0.035,0.037000000000000005,2.0,100,3.55,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:53.613406
1.774,0.037000000000000005,2.0,100,3.55,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:53.639173
0.054000000000000006,0.057,2.0,100,5.37,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:05.732031
2.6830000000000003,0.057,2.0,100,5.37,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:59.576118
0.08,0.08800000000000001,2.0,100,8.02,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:07.483495
4.008,0.08800000000000001,2.0,100,8.02,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:08.403946
0.11699999999999999,0.136,2.0,100,11.73,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:19.537929
5.865,0.136,2.0,100,11.73,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:18.513853
0.166,0.21,2.0,100,16.57,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:39.044818
8.283999999999999,0.21,2.0,100,16.57,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:38.061546
0.21899999999999997,0.324,2.0,100,21.89,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:20.333859
10.947,0.324,2.0,100,21.89,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:22.926999
0.25,0.5,2.0,100,25.0,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:13.394461
12.5,0.5,2.0,100,25.0,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:13.959716
0.001,0.01,2.0,10,0.1,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:27.540931
0.049,0.01,2.0,10,0.1,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:17.883206
0.002,0.015,2.0,10,0.15,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:23.955536
0.076,0.015,2.0,10,0.15,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:24.650824
0.002,0.024,2.0,10,0.23,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:28.933359
0.116,0.024,2.0,10,0.23,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:29.433908
0.004,0.037000000000000005,2.0,10,0.35,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:31.527742
0.177,0.037000000000000005,2.0,10,0.35,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:32.567111
0.005,0.057,2.0,10,0.54,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:35.882640
0.268,0.057,2.0,10,0.54,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:36.074812
