ω,z,E,p,grid_points,grid_size,L,t_failed,worked?
2.19,0.324,10,0.192,50,2,2,2.0,True
0.8,0.088,10,0.046,50,2,2,2.0,True
8.02,0.088,100,0.456,60,3,2,2.0,True
3.55,0.037,100,1.774,50,2,2,2.0,True
16.57,0.21,100,2.249,50,3,2,2.0,True
25.0,0.5,100,0.386,50,2,2,2.0,True
3.55,0.037,100,0.085,60,3,2,2.0,True
21.89,0.324,100,0.807,60,3,2,2.0,True
3.55,0.037,100,1.149,60,3,2,2.0,True
0.35,0.037,10,0.008,50,2,2,2.0,True
0.54,0.057,10,0.02,50,2,2,2.0,True
5.37,0.057,100,0.083,50,2,2,2.0,True
2.33,0.024,100,0.086,50,2,2,2.0,True
21.89,0.324,100,0.338,50,3,2,2.0,True
11.73,0.136,100,1.592,60,3,2,2.0,True
21.89,0.324,100,1.924,50,2,2,2.0,True
11.73,0.136,100,2.459,50,2,2,2.0,True
8.02,0.088,100,4.008,50,2,2,2.0,True
21.89,0.324,100,1.924,60,3,2,2.0,True
3.55,0.037,100,0.312,50,2,2,2.0,True
0.35,0.037,10,0.004,50,2,2,2.0,True
25.0,0.5,100,0.386,60,3,2,2.0,True
16.57,0.21,100,8.284,50,3,2,2.0,True
21.89,0.324,100,10.947,60,3,2,2.0,True
21.89,0.324,100,7.088,50,3,2,2.0,True
0.35,0.037,10,0.177,50,2,2,2.0,True
21.89,0.324,100,4.589,60,3,2,2.0,True
8.02,0.088,100,4.008,60,3,2,2.0,True
0.99,0.01,100,0.056,50,2,2,2.0,True
3.55,0.037,100,0.055,50,2,2,2.0,True
0.8,0.088,10,0.259,50,2,2,2.0,True
0.35,0.037,10,0.013,50,2,2,2.0,True
16.57,0.21,100,0.61,50,3,2,2.0,True
0.8,0.088,10,0.012,50,2,2,2.0,True
0.23,0.024,10,0.116,50,2,2,2.0,True
0.54,0.057,10,0.268,50,2,2,2.0,True
11.73,0.136,100,0.28,60,3,2,2.0,True
1.17,0.136,10,0.012,50,2,2,2.0,True
21.89,0.324,100,0.219,50,3,2,2.0,True
11.73,0.136,100,0.117,60,3,2,2.0,True
16.57,0.21,100,3.314,50,3,2,2.0,True
1.17,0.136,10,0.38,50,2,2,2.0,True
5.37,0.057,100,1.737,60,3,2,2.0,True
0.35,0.037,10,0.005,50,2,2,2.0,True
16.57,0.21,100,3.473,60,3,2,2.0,True
25.0,0.5,100,0.921,50,3,2,2.0,True
16.57,0.21,100,0.256,50,2,2,2.0,True
2.19,0.324,10,0.459,50,2,2,2.0,True
3.55,0.037,100,0.035,50,2,2,2.0,True
0.99,0.01,100,0.208,50,2,2,2.0,True
1.66,0.21,10,0.146,50,2,2,2.0,True
3.55,0.037,100,0.131,60,3,2,2.0,True
25.0,0.5,100,5.0,50,3,2,2.0,True
10.95,0.324,50,2.189,50,3,2,2.0,True
8.28,0.21,50,1.6569999999999998,50,3,2,2.0,True
1.66,0.21,10,0.347,50,2,2,2.0,True
16.57,0.21,100,0.61,60,3,2,2.0,True
0.54,0.057,10,0.008,50,2,2,2.0,True
16.57,0.21,100,8.284,50,2,2,2.0,True
5.37,0.057,100,0.083,60,3,2,2.0,True
11.73,0.136,100,5.865,50,2,2,2.0,True
8.02,0.088,100,0.295,60,3,2,2.0,True
2.19,0.324,10,1.095,50,2,2,2.0,True
8.02,0.088,100,0.124,60,3,2,2.0,True
0.8,0.088,10,0.109,50,2,2,2.0,True
0.54,0.057,10,0.112,50,2,2,2.0,True
0.8,0.088,10,0.03,50,2,2,2.0,True
2.19,0.324,10,0.034,50,2,2,2.0,True
2.33,0.024,100,1.164,50,2,2,2.0,True
5.37,0.057,100,0.198,60,3,2,2.0,True
21.89,0.324,100,0.807,50,2,2,2.0,True
2.33,0.024,100,0.023,50,2,2,2.0,True
0.23,0.024,10,0.02,50,2,2,2.0,True
1.52,0.015,100,0.319,50,2,2,2.0,True
3.55,0.037,100,0.744,50,2,2,2.0,True
21.89,0.324,100,0.522,50,3,2,2.0,True
2.5,0.5,10,0.039,50,2,2,2.0,True
1.17,0.136,10,0.159,50,2,2,2.0,True
16.57,0.21,100,0.61,50,2,2,2.0,True
21.89,0.324,100,7.088,60,3,2,2.0,True
16.57,0.21,100,0.943,60,3,2,2.0,True
25.0,0.5,100,5.24,50,2,2,2.0,True
8.02,0.088,100,1.088,60,3,2,2.0,True
0.54,0.057,10,0.047,50,2,2,2.0,True
21.89,0.324,100,4.379,50,3,2,2.0,True
16.57,0.21,100,0.256,50,3,2,2.0,True
3.55,0.037,100,0.744,60,3,2,2.0,True
3.55,0.037,100,0.482,50,2,2,2.0,True
2.33,0.024,100,0.205,50,2,2,2.0,True
21.89,0.324,100,10.947,50,2,2,2.0,True
5.37,0.057,100,0.128,50,2,2,2.0,True
2.5,0.5,10,0.809,50,2,2,2.0,True
1.17,0.136,10,0.067,50,2,2,2.0,True
1.17,0.136,10,0.028,50,2,2,2.0,True
0.35,0.037,10,0.071,60,3,2,2.0,True
8.02,0.088,100,0.191,60,3,2,2.0,True
1.52,0.015,100,0.056,50,2,2,2.0,True
1.52,0.015,100,1.174,50,2,2,2.0,True
1.66,0.21,10,0.828,50,2,2,2.0,True
11.73,0.136,100,0.117,50,2,2,2.0,True
8.02,0.088,100,0.191,50,2,2,2.0,True
16.57,0.21,100,0.395,60,3,2,2.0,True
21.89,0.324,100,0.338,60,3,2,2.0,True
2.19,0.324,10,0.081,50,2,2,2.0,True
3.55,0.037,100,1.149,50,2,2,2.0,True
8.02,0.088,100,1.088,50,2,2,2.0,True
0.99,0.01,100,0.01,50,2,2,2.0,True
2.5,0.5,10,0.142,50,2,2,2.0,True
25.0,0.5,100,12.5,60,3,2,2.0,True
8.02,0.088,100,0.08,60,3,2,2.0,True
8.02,0.088,100,0.456,50,2,2,2.0,True
21.89,0.324,100,1.246,50,2,2,2.0,True
0.54,0.057,10,0.107,60,3,2,2.0,True
1.52,0.015,100,0.206,50,2,2,2.0,True
25.0,0.5,100,0.596,50,2,2,2.0,True
0.35,0.037,10,0.071,60,3,2,2.0,True
0.99,0.01,100,0.015,50,2,2,2.0,True
0.99,0.01,100,0.321,50,2,2,2.0,True
21.89,0.324,100,0.522,50,2,2,2.0,True
0.99,0.01,100,0.024,50,2,2,2.0,True
21.89,0.324,100,4.589,50,3,2,2.0,True
1.52,0.015,100,0.76,50,2,2,2.0,True
1.52,0.015,100,0.015,50,2,2,2.0,True
25.0,0.5,100,0.921,50,2,2,2.0,True
11.73,0.136,100,0.432,60,3,2,2.0,True
16.57,0.21,100,2.249,50,2,2,2.0,True
8.02,0.088,100,0.124,50,2,2,2.0,True
5.37,0.057,100,0.054,50,2,2,2.0,True
25.0,0.5,100,3.393,50,3,2,2.0,True
1.52,0.015,100,0.023,50,2,2,2.0,True
11.73,0.136,100,0.181,50,2,2,2.0,True
5.37,0.057,100,0.128,60,3,2,2.0,True
3.55,0.037,100,0.202,60,3,2,2.0,True
8.02,0.088,100,0.08,50,2,2,2.0,True
2.33,0.024,100,0.754,50,2,2,2.0,True
0.35,0.037,10,0.048,50,2,2,2.0,True
1.66,0.21,10,0.04,50,2,2,2.0,True
2.5,0.5,10,1.25,50,2,2,2.0,True
0.99,0.01,100,0.134,50,2,2,2.0,True
25.0,0.5,100,12.5,50,3,2,2.0,True
25.0,0.5,100,5.24,50,3,2,2.0,True
25.0,0.5,100,0.596,60,3,2,2.0,True
25.0,0.5,100,2.197,50,3,2,2.0,True
21.89,0.324,100,2.971,50,2,2,2.0,True
5.37,0.057,100,0.054,60,3,2,2.0,True
5.37,0.057,100,0.728,50,2,2,2.0,True
