ω,z,E,p,grid_points,grid_size,L,t_failed,worked?
1.16,0.024,50,0.5820000000000001,40,3,2,0.405,False
0.8,0.088,10,0.008,40,3,2,0.405,False
1.17,0.136,10,0.235,30,3,2,0.37,False
0.76,0.015,50,0.38,40,3,2,0.357,False
0.76,0.015,50,0.008,40,3,2,0.357,False
0.15,0.015,10,0.03,60,3,2,0.347,False
0.15,0.015,10,0.03,60,3,2,0.347,False
0.54,0.057,10,0.005,40,3,2,0.345,False
0.54,0.057,10,0.268,40,3,2,0.345,False
0.23,0.024,10,0.047,50,3,2,0.338,False
0.49,0.01,50,0.005,40,3,2,0.321,False
0.49,0.01,50,0.247,40,3,2,0.321,False
0.35,0.037,10,0.177,40,3,2,0.31,False
0.8,0.088,10,0.16,30,3,2,0.304,False
0.35,0.037,10,0.004,40,3,2,0.298,False
0.54,0.057,10,0.107,30,3,2,0.283,False
0.23,0.024,10,0.1159999999999999,40,3,2,0.2739999999999999,False
0.23,0.024,10,0.002,40,3,2,0.262,False
0.15,0.015,10,0.03,50,3,2,0.241,False
0.35,0.037,10,0.071,30,3,2,0.239,False
0.23,0.024,10,0.047,30,3,2,0.217,False
0.15,0.015,10,0.076,40,3,2,0.214,False
0.15,0.015,10,0.002,40,3,2,0.214,False
0.15,0.015,10,0.03,30,3,2,0.196,False
0.1,0.01,10,0.02,30,3,2,0.174,False
0.1,0.01,10,0.001,40,3,2,0.155,False
0.1,0.01,10,0.049,40,3,2,0.155,False
0.1,0.01,10,0.02,50,3,2,0.12,False
0.1,0.01,10,0.02,60,3,2,0.078,False
0.1,0.01,10,0.02,60,3,2,0.078,False
0.1,0.01,10,0.02,40,3,2,0.012,False
0.8,0.088,10,0.16,40,3,2,0.012,False
0.54,0.057,10,0.107,40,3,2,0.012,False
0.15,0.015,10,0.03,40,3,2,0.012,False
0.35,0.037,10,0.071,40,3,2,0.012,False
0.23,0.024,10,0.047,40,3,2,0.012,False
0.99,0.01,100,0.495,40,3,2,0.0119047619047619,False
1.52,0.015,100,0.015,40,3,2,0.0119047619047619,False
0.99,0.01,100,0.01,40,3,2,0.0119047619047619,False
