p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
0.071,0.203,0.037,2.0,10,0.35,60,3,(0.106-0.537j),(0.007-0.01j),(0.006-0.008j),(1.311-5.336j),(1.307-5.333j),(1.307-5.333j),(0.006-0.008j),0.07,1.0,0.99,0.182,0.998,0 days 02:06:49.416354
0.071,0.203,0.037,2.0,10,0.35,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:05.489987
0.071,0.203,0.037,2.0,10,0.35,40,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:36.453470
0.071,0.203,0.037,2.0,10,0.35,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:36.270248
0.071,0.203,0.037,2.0,10,0.35,60,3,(0.106-0.537j),(0.007-0.01j),(0.006-0.008j),(1.311-5.336j),(1.307-5.333j),,,0.02,1.0,,0.182,,0 days 01:23:06.435753
0.074,0.21,0.037,2.0,10,0.35,50,2,(0.113-0.585j),(0.008-0.011j),(0.007-0.009j),(1.361-5.753j),(1.358-5.75j),(1.358-5.75j),(1.274-4.924j),0.07,1.0,0.99,0.184,0.134,0 days 01:26:10.400145
0.115,0.324,0.037,2.0,10,0.35,50,2,(0.124-0.601j),(0.019-0.027j),(0.016-0.022j),(1.361-5.769j),(1.358-5.766j),(1.358-5.766j),(1.275-4.942j),0.16,1.0,0.99,0.188,0.134,0 days 01:26:32.624186
0.177,0.506,0.037,2.0,10,0.35,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:32.567111
0.177,0.5,0.037,2.0,10,0.35,50,2,(0.148-0.639j),(0.045-0.064j),(0.036-0.051j),(1.362-5.807j),(1.358-5.803j),(1.358-5.803j),(1.278-4.983j),0.31,1.0,0.99,0.197,0.133,0 days 01:26:51.421478
0.005,0.01,0.01,2.0,50,0.49,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:46.642012
0.099,0.2019999999999999,0.01,2.0,50,0.49,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:49.081312
0.247,0.504,0.01,2.0,50,0.49,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:36.087526
0.005,0.009,0.057,2.0,10,0.54,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:35.882640
0.005,0.01,0.057,2.0,10,0.54,50,2,(0.169-0.781j),-0j,-0j,(2.321-8.139j),(2.311-8.129j),(2.311-8.129j),(2.173-6.808j),0.0,1.0,0.98,0.18,0.144,0 days 01:25:40.909793
0.008,0.015,0.057,2.0,10,0.54,50,2,(0.169-0.781j),-0j,-0j,(2.321-8.139j),(2.311-8.13j),(2.311-8.13j),(2.173-6.808j),0.0,1.0,0.98,0.18,0.144,0 days 01:31:04.948136
0.013,0.024,0.057,2.0,10,0.54,50,2,(0.169-0.781j),-0.001j,-0j,(2.321-8.14j),(2.311-8.13j),(2.311-8.13j),(2.173-6.809j),0.0,1.0,0.98,0.18,0.144,0 days 01:31:06.014356
0.02,0.037,0.057,2.0,10,0.54,50,2,(0.17-0.782j),(0.001-0.001j),(0.001-0.001j),(2.321-8.14j),(2.311-8.131j),(2.311-8.131j),(2.173-6.81j),0.01,1.0,0.98,0.18,0.144,0 days 01:27:54.640652
0.031,0.057,0.057,2.0,10,0.54,50,2,(0.171-0.784j),(0.002-0.003j),(0.002-0.002j),(2.321-8.142j),(2.311-8.132j),(2.311-8.132j),(2.174-6.812j),0.01,1.0,0.98,0.181,0.144,0 days 01:30:06.416178
0.047,0.088,0.057,2.0,10,0.54,50,2,(0.174-0.788j),(0.005-0.007j),(0.004-0.006j),(2.322-8.146j),(2.312-8.136j),(2.312-8.136j),(2.174-6.816j),0.03,1.0,0.98,0.181,0.144,0 days 01:30:52.233769
0.073,0.136,0.057,2.0,10,0.54,50,2,(0.18-0.797j),(0.012-0.016j),(0.01-0.013j),(2.322-8.155j),(2.312-8.146j),(2.312-8.146j),(2.175-6.827j),0.07,1.0,0.98,0.183,0.144,0 days 01:28:59.383448
0.107,0.198,0.057,2.0,10,0.54,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:18.679422
0.107,0.198,0.057,2.0,10,0.54,60,3,(0.186-0.757j),(0.026-0.035j),(0.021-0.029j),(2.253-7.65j),(2.243-7.64j),,,0.05,1.0,,0.184,,0 days 01:24:04.967634
0.107,0.198,0.057,2.0,10,0.54,40,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:50.011968
0.107,0.198,0.057,2.0,10,0.54,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:06.552304
0.112,0.21,0.057,2.0,10,0.54,50,2,(0.196-0.821j),(0.028-0.039j),(0.023-0.032j),(2.322-8.178j),(2.313-8.168j),(2.313-8.168j),(2.178-6.853j),0.14,1.0,0.98,0.186,0.144,0 days 01:26:54.566218
