p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
0.16,0.2,0.08800000000000001,2.0,10,0.8,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:06.767966
0.16,0.2,0.08800000000000001,2.0,10,0.8,40,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:44.470760
0.16,0.2,0.08800000000000001,2.0,10,0.8,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:04:10.946626
0.16,0.2,0.08800000000000001,2.0,10,0.8,60,3,(0.334-1.03j),(0.084-0.117j),(0.067-0.096j),(3.818-10.458j),(3.79-10.43j),,,0.11,1.0,,0.185,,0 days 01:27:20.330640
0.401,0.501,0.08800000000000001,2.0,10,0.8,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:42.229519
0.00989999999999999,0.01,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:50.428279
0.015290075838969137,0.015,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:42.792655
0.02361478981428566,0.024,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.975565
0.036471911836539785,0.037000000000000005,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.282579
0.056329121007362634,0.057,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.322044
0.08699762950960054,0.08800000000000001,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:40.669096
0.13436367202144772,0.136,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.757925
